City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tuktoyaktuk,69.4541,-133.0374,24.8,80,90,5.75,CA,1619991137
Salalah,17.0151,54.0924,86.0,74,20,8.05,OM,1619991385
Arraial do Cabo,-22.9661,-42.0278,73.4,78,40,4.61,BR,1619991600
Tiksi,71.6872,128.8694,23.86,97,100,4.14,RU,1619991601
Provideniya,64.3833,-173.3,28.06,53,99,15.21,RU,1619991601
Hermanus,-34.4187,19.2345,64.0,53,0,1.01,ZA,1619991602
Flinders,-34.5833,150.8552,55.0,90,6,1.99,AU,1619991131
Pevek,69.7008,170.3133,12.61,93,99,5.12,RU,1619991112
Nyurba,63.2842,118.3319,33.85,98,100,4.32,RU,1619991603
Adrar,20.5022,-10.0711,88.25,18,97,7.72,MR,1619991604
Hong Kong,22.2855,114.1577,77.0,84,99,19.48,HK,1619991090
Virtsu,58.5716,23.5115,39.0,50,100,13.0,EE,1619991392
Hamilton,39.1834,-84.5333,75.99,46,1,12.66,US,1619991376
Tasiilaq,65.6145,-37.6368,32.0,69,0,5.75,GL,1619991494
Beyşehir,37.6773,31.7246,66.22,49,29,3.85,TR,1619991393
Kiryat Gat,31.61,34.7642,71.6,43,0,4.61,IL,1619991606
Lagoa,39.05,-27.9833,60.01,87,100,12.95,PT,1619991606
Roebourne,-20.7833,117.1333,77.02,52,5,12.15,AU,1619991394
Mahébourg,-20.4081,57.7,75.2,94,20,4.61,MU,1619991607
Kenai,60.5544,-151.2583,51.8,35,20,10.36,US,1619991333
Kirkenes,69.7271,30.0458,28.4,80,40,2.3,NO,1619991395
Aras,42.5617,-2.356,51.8,62,20,4.61,ES,1619991395
Khorixas,-20.3667,14.9667,68.45,69,67,7.29,NA,1619991396
Douglas,41.3,-96.167,84.2,42,75,8.05,US,1619990941
Guerrero Negro,27.9769,-114.0611,67.53,59,13,18.88,MX,1619991609
Faanui,-16.4833,-151.75,81.1,67,22,9.48,PF,1619991204
Ariquemes,-9.9133,-63.0408,75.99,92,76,1.34,BR,1619991260
Léo,11.1,-2.1,90.64,36,100,7.47,BF,1619991397
Khatanga,71.9667,102.5,30.31,90,100,6.35,RU,1619991611
Shimoda,34.6667,138.95,55.0,58,7,1.01,JP,1619991374
Pochutla,15.7432,-96.4661,86.0,32,40,11.5,MX,1619991611
Teguise,29.0605,-13.564,66.2,63,20,16.11,ES,1619991398
Nishihara,26.1842,127.7558,66.2,72,40,5.75,JP,1619991115
Soto la Marina,23.7667,-98.2167,91.99,60,20,11.01,MX,1619991398
Puerto Ayora,-0.7393,-90.3518,86.0,58,75,11.5,EC,1619991376
Chumphon,10.3333,98.8333,84.99,74,99,2.08,TH,1619991399
Great Yarmouth,52.6083,1.7305,46.4,76,100,5.75,GB,1619991400
Nikolskoye,59.7035,30.7861,39.2,56,0,11.18,RU,1619991477
Yeppoon,-23.1333,150.7333,68.0,77,40,4.61,AU,1619991400
Pisco,-13.7,-76.2167,69.8,73,0,21.85,PE,1619991070
Saint George,37.1041,-113.5841,84.99,15,1,14.97,US,1619991120
Mumbwa,-14.9783,27.0619,59.94,94,100,6.8,ZM,1619991401
Kapaa,22.0752,-159.319,78.8,73,40,13.8,US,1619991614
São Filipe,14.8961,-24.4956,71.6,71,85,10.69,CV,1619991483
Mulegé,26.8833,-111.9833,88.5,20,55,3.94,MX,1619991100
Muros,42.7762,-9.0603,52.0,72,0,1.99,ES,1619991193
Pangnirtung,66.1451,-65.7125,36.5,86,15,1.52,CA,1619991615
Seoul,37.5683,126.9778,44.6,93,63,8.05,KR,1619991120
Anking,30.5092,117.0506,61.29,75,99,3.29,CN,1619991403
Badhni Kalān,30.6833,75.2833,82.58,31,40,4.85,IN,1619991403
Mandalgovi,45.7625,106.2708,31.64,73,64,25.7,MN,1619991404
Kaitangata,-46.2817,169.8464,57.0,82,81,4.68,NZ,1619991617
Xining,36.6167,101.7667,48.78,64,0,1.1,CN,1619991405
Los Algarrobos,8.5,-82.4333,84.2,70,20,9.22,PA,1619991405
Nemea,37.8167,22.6667,70.0,54,100,1.01,GR,1619991406
Mingyue,43.1069,128.9217,47.62,59,77,3.22,CN,1619991406
Alice Springs,-23.7,133.8833,53.6,58,77,5.75,AU,1619991618
The Valley,18.217,-63.0578,84.2,69,40,12.66,AI,1619991322
Castro,-24.7911,-50.0119,61.57,80,28,3.24,BR,1619991407
Yulara,-25.2406,130.9889,59.0,47,99,6.91,AU,1619991407
Kemisē,10.7167,39.8667,65.14,89,100,1.05,ET,1619991408
Bethel,41.3712,-73.414,78.8,34,75,8.05,US,1619991474
Hambantota,6.1241,81.1185,77.0,100,40,3.44,LK,1619991408
Pemangkat,1.1667,108.9667,77.58,88,97,4.12,ID,1619991208
Aksaray,38.3726,34.0254,66.2,48,0,11.5,TR,1619991409
Nogales,31.3086,-110.9422,87.01,11,1,23.02,MX,1619991409
Codrington,-38.2667,141.9667,58.03,85,99,12.21,AU,1619991218
Villa Constitución,-33.2278,-60.3297,78.8,65,0,6.91,AR,1619991410
Saint-Augustin,51.226,-58.6502,48.18,52,98,11.61,CA,1619991082
Sémbé,1.6481,14.5806,72.41,97,99,2.35,CG,1619991410
Sol'vychegodsk,61.3305,46.9156,30.72,59,39,1.77,RU,1619991411
Ponta do Sol,32.6667,-17.1,57.0,69,97,4.0,PT,1619991122
Kasangulu,-4.5911,15.1708,80.6,74,75,4.61,CD,1619991411
Khuzdar,27.7384,66.6434,68.45,51,90,5.17,PK,1619991412
Butaritari,3.0707,172.7902,82.63,75,100,14.32,KI,1619991412
Nadym,65.5333,72.5167,25.07,78,10,10.67,RU,1619991024
Siilinjärvi,63.0833,27.6667,32.0,59,0,2.3,FI,1619991138
Broome,42.2506,-75.833,66.99,63,20,13.8,US,1619991533
Marsh Harbour,26.5412,-77.0636,79.16,71,85,9.55,BS,1619991254
Tongliao,43.6125,122.2653,52.45,41,92,17.76,CN,1619991277
Pizarro,4.9533,-77.366,76.03,88,100,1.48,CO,1619991624
Manzanillo,20.3433,-77.1167,88.36,48,45,11.48,CU,1619991414
Grindavik,63.8424,-22.4338,41.0,60,0,16.11,IS,1619991415
Kabalo,-6.05,26.9167,69.06,96,62,3.85,CD,1619991130
Hithadhoo,-0.6,73.0833,82.74,71,92,9.15,MV,1619991625
Xiaoshi,41.2971,124.1209,51.8,37,0,8.95,CN,1619991416
Oranjemund,-28.55,16.4333,68.99,39,27,4.43,NA,1619991135
Oriximiná,-1.7656,-55.8661,77.0,90,32,2.3,BR,1619991416
Nikolayevka,53.1257,47.2041,51.39,70,84,6.46,RU,1619991417
Wonthaggi,-38.6044,145.5913,57.0,91,53,12.35,AU,1619991418
Cascais,38.6979,-9.4215,57.0,67,20,19.57,PT,1619991396
Illapel,-31.6308,-71.1653,64.99,53,100,4.54,CL,1619991419
Kyaikto,17.3,97.0167,80.76,76,0,1.68,MM,1619991419
Ust'-Uda,54.1742,103.0304,35.92,81,99,13.49,RU,1619991419
Lerwick,60.1545,-1.1494,39.2,81,100,3.44,GB,1619991420
Bahía Solano,6.2262,-77.4044,79.32,84,90,8.41,CO,1619991421
Jamestown,42.097,-79.2353,71.6,40,1,17.27,US,1619991296
Sinnai,39.3042,9.2036,61.0,72,0,6.91,IT,1619991422
Faya,18.3851,42.4509,60.8,88,0,2.86,SA,1619991030
Alpine,32.835,-116.7664,66.99,63,90,11.5,US,1619991422
Saint-Joseph,-21.3667,55.6167,73.99,83,0,4.61,RE,1619991423
Camaná,-16.6228,-72.7111,68.77,80,36,5.5,PE,1619991423
Aklavik,68.2191,-135.0107,33.8,69,100,5.75,CA,1619991180
Bonnyville,54.2668,-110.735,39.2,52,90,11.5,CA,1619991295
Ngerengere,-6.75,38.1167,73.4,100,75,3.36,TZ,1619991424
Byron Bay,-28.65,153.6167,61.0,100,88,5.75,AU,1619991630
Masindi,1.6744,31.715,63.16,95,65,3.38,UG,1619991425
Praia da Vitória,38.7333,-27.0667,62.6,88,40,13.33,PT,1619991213
Thinadhoo,0.5333,72.9333,82.38,73,100,7.85,MV,1619991425
Vardø,70.3705,31.1107,26.6,86,20,9.22,NO,1619991497
Ubon Ratchathani,15.1667,105.1667,84.99,94,54,2.08,TH,1619991426
Pakxan,18.3778,103.6601,74.12,86,51,3.0,LA,1619991426
Mehamn,71.0357,27.8492,28.4,86,40,6.91,NO,1619991427
Tongren,27.7172,109.1853,71.28,96,99,3.67,CN,1619991427
Avarua,-21.2078,-159.775,77.0,73,90,6.91,CK,1619991175
Galveston,29.3669,-94.9669,82.0,78,75,14.97,US,1619991428
Saint-Pierre,-21.3393,55.4781,73.99,83,0,4.61,RE,1619991633
Ksino Nero,40.6833,21.6167,73.0,37,90,4.61,GR,1619991429
Puerto Suárez,-18.95,-57.8,89.6,55,0,5.75,BO,1619991429
Youhao,47.8667,128.8333,46.58,59,95,1.79,CN,1619991430
Bonavista,48.6499,-53.1147,46.4,57,25,14.97,CA,1619991514
Karagaylinskiy,54.172,86.5521,36.32,77,30,9.84,RU,1619991431
Leningradskiy,69.3833,178.4167,20.5,84,97,7.83,RU,1619991431
Jumla,29.2747,82.1838,50.4,90,99,2.91,NP,1619991634
Cenotillo,20.9667,-88.6167,98.44,26,90,12.57,MX,1619991432
Oskaloosa,41.2964,-92.6444,86.0,32,40,20.71,US,1619991432
Karratha,-20.7377,116.8463,76.87,50,9,10.04,AU,1619991636
Bengkulu,-3.8004,102.2655,75.63,86,77,4.32,ID,1619991636
Vazante,-17.9869,-46.9078,67.69,56,26,4.74,BR,1619991433
Nanyamba,-10.6833,39.8333,69.84,98,48,5.17,TZ,1619991434
Manaquiri,-3.3167,-60.35,82.4,74,40,6.91,BR,1619991434
San Cristobal,7.7669,-72.225,84.2,61,40,9.22,VE,1619991637
Lebu,-37.6167,-73.65,54.59,91,100,6.51,CL,1619991255
Shingū,33.7333,135.9833,53.53,64,44,5.1,JP,1619991638
Kromy,52.6876,35.7667,55.62,93,85,10.6,RU,1619991435
Monte Alegre,-2.0078,-54.0692,75.99,90,53,1.21,BR,1619991436
Maksatikha,57.797,35.8825,40.42,83,100,8.32,RU,1619991436
Killybegs,54.6333,-8.45,44.6,87,75,2.3,IE,1619991213
Kokoda,-8.8785,147.7407,78.6,81,76,0.38,PG,1619991437
Vestmannaeyjar,63.4427,-20.2734,39.2,60,75,13.8,IS,1619991437
St. George's,12.0564,-61.7485,86.0,62,20,17.27,GD,1619991640
Qaqortoq,60.7167,-46.0333,44.6,23,78,56.39,GL,1619991373
Nabire,-3.3667,135.4833,75.65,93,100,3.13,ID,1619991069
Kapit,2.0167,112.9333,73.11,99,100,1.63,MY,1619991438
Aykhal,66.0,111.5,30.92,97,100,4.16,RU,1619991190
Cheyenne,41.14,-104.8203,53.6,66,75,21.85,US,1619991439
Buraidah,26.326,43.975,80.6,24,0,11.5,SA,1619991440
Kavaratti,10.5669,72.642,84.06,75,89,4.61,IN,1619991641
Bama,11.5221,13.6856,89.24,33,39,5.97,NG,1619991067
Zalari,53.5584,102.5065,36.43,74,84,13.58,RU,1619991440
Snåase,64.2457,12.3778,28.8,90,64,1.21,NO,1619991441
Mount Isa,-20.7333,139.5,57.2,62,0,9.44,AU,1619991441
Kodinsk,58.6881,99.1844,31.62,95,99,8.03,RU,1619991442
Comodoro Rivadavia,-45.8667,-67.5,57.2,41,0,14.97,AR,1619991123
Barcelos,41.5388,-8.6151,55.0,76,0,4.61,PT,1619991165
Usogorsk,63.4106,48.6872,27.91,57,0,6.87,RU,1619991442
Waingapu,-9.6567,120.2641,75.54,83,38,9.44,ID,1619991443
Bānsi,27.1833,82.9333,81.21,44,93,11.56,IN,1619991443
Marsá Maţrūḩ,31.3525,27.2453,75.2,23,0,2.77,EG,1619991444
Subaan,13.0765,121.3647,76.68,90,64,2.8,PH,1619991444
Vokhtoga,58.8147,41.0461,34.14,80,80,4.76,RU,1619991445
Lapua,62.9693,23.0088,30.0,77,2,2.1,FI,1619991445
Svarstad,59.399,9.9698,43.0,1,60,2.06,NO,1619991445
Joensuu,62.6012,29.7632,30.2,64,0,4.61,FI,1619991369
Bestöbe,52.4994,73.0975,49.5,41,44,11.18,KZ,1619991446
La Ronge,55.1001,-105.2842,30.2,74,100,9.22,CA,1619991506
Jablah,35.3614,35.9256,66.2,77,0,6.91,SY,1619991447
Bintulu,3.1667,113.0333,75.2,100,20,4.61,MY,1619991274
Haapiti,-17.5667,-149.8667,86.0,66,20,11.5,PF,1619991447
Okha,53.5739,142.9478,31.12,92,99,18.5,RU,1619991448
Ngorongoro,-3.2397,35.4875,51.49,96,29,4.92,TZ,1619991448
Palmer,42.1584,-72.3287,59.0,77,90,17.27,US,1619991440
Am Timan,11.0297,20.2827,93.56,19,52,0.74,TD,1619991449
Biggar,55.6167,-3.5167,44.6,65,75,4.61,GB,1619991449
Bratsk,56.1325,101.6142,33.8,86,98,11.18,RU,1619991450
Lianhe,47.1333,129.2667,47.8,58,69,0.47,CN,1619991201
Puerto del Rosario,28.5004,-13.8627,66.2,59,20,14.97,ES,1619991159
Eydhafushi,5.1033,73.0708,83.16,72,100,3.04,MV,1619991450
Tual,-5.6667,132.75,81.27,79,100,17.98,ID,1619991269
Chipinge,-20.1883,32.6236,55.15,81,45,5.39,ZW,1619991451
Touros,-5.1989,-35.4608,80.6,74,40,9.22,BR,1619991404
Husavik,66.0449,-17.3389,35.6,64,0,9.22,IS,1619991452
Tongchuanshi,35.0806,109.0897,50.43,88,100,1.7,CN,1619991452
Havre-St-Pierre,50.2334,-63.5986,42.8,70,90,17.27,CA,1619991453
Reconquista,-29.15,-59.65,69.94,69,24,7.34,AR,1619991184
Saint-Philippe,-21.3585,55.7679,73.99,83,0,4.61,RE,1619991136
Huarmey,-10.0681,-78.1522,71.31,75,39,10.31,PE,1619991176
Two Rivers,44.1539,-87.5693,71.01,76,75,8.05,US,1619991454
Priyutnoye,46.1011,43.5072,61.63,68,49,8.25,RU,1619991454
Nelson Bay,-32.7167,152.15,57.99,100,75,4.61,AU,1619991455
Anshun,26.25,105.9333,62.58,95,13,11.23,CN,1619991455
Road Town,18.4167,-64.6167,82.4,69,20,9.22,VG,1619991456
Mana,5.6592,-53.7767,77.86,87,99,9.64,GF,1619991456
São João da Barra,-21.6403,-41.0511,73.4,78,75,6.91,BR,1619991651
Klaksvík,62.2266,-6.589,35.6,75,40,6.91,FO,1619991114
Chapais,49.7834,-74.8492,33.8,51,90,14.97,CA,1619991183
Sidrolândia,-20.9319,-54.9614,78.8,73,40,1.14,BR,1619991457
Stephenville,32.2207,-98.2023,82.4,44,1,9.22,US,1619991372
Turka,49.1541,23.0297,48.0,69,98,7.0,UA,1619991458
Sos'va,59.1766,61.8558,34.0,60,5,3.09,RU,1619991458
Rincon,32.296,-81.2354,78.8,61,75,14.97,US,1619991458
Langue,13.6208,-87.6525,93.2,58,20,9.22,HN,1619991459
Ust-Nera,64.5667,143.2,36.12,94,98,4.18,RU,1619991109
Verkhnyaya Inta,65.9811,60.3094,31.19,79,94,26.04,RU,1619991459
Ilulissat,69.2167,-51.1,50.0,25,0,21.85,GL,1619991460
Wenling,28.3669,121.36,60.01,70,99,1.59,CN,1619991460
Khorinsk,52.1657,109.7726,36.5,75,100,7.99,RU,1619991461
Khor,47.8861,134.9464,40.41,66,31,6.22,RU,1619991119
Constitución,-35.3333,-72.4167,55.45,97,100,4.74,CL,1619991356
San Patricio,28.017,-97.5169,87.8,70,1,14.97,US,1619991203
Broken Hill,-31.95,141.4333,53.6,66,79,5.75,AU,1619991072
Businga,3.3333,20.8833,71.51,95,92,1.45,CD,1619991251
Nago,26.5881,127.9761,66.2,82,1,8.05,JP,1619991462
Gao,16.6362,1.637,88.92,6,0,8.68,ML,1619991463
Koslan,63.4564,48.8989,28.04,55,0,7.27,RU,1619991656
Bethanien,-26.502,17.1583,66.94,26,44,9.06,NA,1619991463
Ancud,-41.8697,-73.8203,54.0,71,75,8.05,CL,1619991268
Plettenberg Bay,-34.0527,23.3716,64.78,48,0,5.17,ZA,1619991464
Viedma,-40.8135,-62.9967,66.07,33,100,9.82,AR,1619990962
Garoowe,8.4054,48.4845,78.19,70,100,10.36,SO,1619991465
Milton,34.1322,-84.3007,79.0,61,100,1.01,US,1619991465
Zhigansk,66.7697,123.3711,33.62,99,100,6.17,RU,1619991466
Luganville,-15.5333,167.1667,79.34,83,67,10.07,VU,1619991466
Erzurum Province,40.0,41.5,44.6,70,0,2.3,TR,1619991466
Mareeba,-17.0,145.4333,75.2,73,24,10.36,AU,1619991467
Outjo,-20.1167,16.15,63.19,51,83,6.51,NA,1619991467
Xifeng,42.7372,124.7222,51.33,48,82,9.13,CN,1619991468
Boyolangu,-8.1181,111.8935,74.53,90,12,1.83,ID,1619991468
Chitungwiza,-18.0127,31.0756,53.01,81,44,8.01,ZW,1619991469
Umm Kaddadah,13.6017,26.6876,84.63,17,5,10.02,SD,1619991469
Samarai,-10.6167,150.6667,80.2,81,53,7.2,PG,1619991659
Lufilufi,-13.8745,-171.5986,87.8,74,40,3.44,WS,1619991470
Lázaro Cárdenas,17.9583,-102.2,84.72,43,0,14.81,MX,1619991470
Port Blair,11.6667,92.75,83.16,77,23,6.31,IN,1619991470
Kysyl-Syr,63.8986,122.7617,33.53,99,100,2.19,RU,1619991068
Safford,32.834,-109.7076,91.4,3,1,19.57,US,1619991661
Sitka,57.0531,-135.33,44.6,70,75,5.75,US,1619991533
Narsaq,60.9167,-46.05,44.6,23,63,56.39,GL,1619991126
Karabulak,43.3036,44.8964,55.0,94,0,6.71,RU,1619991472
Edd,13.9297,41.6925,85.03,65,99,4.07,ER,1619991472
Vanimo,-2.6741,141.3028,78.82,85,97,3.67,PG,1619991473
Opuwo,-18.0607,13.84,65.21,71,21,7.38,NA,1619991089
Torrijos,39.9819,-4.2835,61.0,48,100,4.92,ES,1619991473
Āsosa,10.0667,34.5333,67.98,63,100,1.79,ET,1619991474
Lashio,22.9333,97.75,64.26,90,37,0.81,MM,1619991474
Gola Bāzār,26.3431,83.3553,83.68,35,86,8.03,IN,1619991475
Vendychany,48.6118,27.7932,61.0,84,8,11.45,UA,1619991475
Hofn,64.2539,-15.2082,35.92,64,65,9.57,IS,1619991476
Kutum,14.2,24.6667,79.27,16,2,8.72,SD,1619991293
Xai-Xai,-25.0519,33.6442,68.13,73,74,10.13,MZ,1619991476
Lorengau,-2.0226,147.2712,82.36,73,90,1.01,PG,1619991664
Olinda,-8.0089,-34.8553,75.2,78,75,5.75,BR,1619991291
Province of Mantua,45.1667,10.7833,53.01,87,40,2.3,IT,1619991106
Buhovo,42.7667,23.5667,68.0,37,0,11.5,BG,1619991478
Portland,45.5234,-122.6762,66.0,42,20,5.75,US,1619991213
East London,-33.0153,27.9116,63.68,75,0,8.08,ZA,1619991478
Alofi,-19.0595,-169.9187,77.0,88,93,11.5,NU,1619991666
San Angelo,31.4638,-100.437,95.0,21,1,17.27,US,1619991479
Launceston,-41.45,147.1667,52.0,93,40,2.73,AU,1619991391
Acaraú,-2.8856,-40.12,78.17,78,100,6.08,BR,1619991246
Nortelândia,-14.4547,-56.8028,78.17,73,52,2.44,BR,1619991480
Payakumbuh,-0.2202,100.6308,69.13,97,89,0.87,ID,1619991480
Talavera,15.6167,120.9333,77.0,78,40,2.3,PH,1619991481
San Juan,-31.5375,-68.5364,70.34,40,30,11.48,AR,1619991166
Shirokiy,49.758,129.523,47.21,48,89,3.33,RU,1619991481
Severnyy,50.677,36.5532,57.2,100,75,4.47,RU,1619991482
Makubetsu,45.3714,141.8211,36.48,94,100,17.74,JP,1619991158
Fes,34.0372,-4.9998,55.4,76,20,6.91,MA,1619991482
Nouadhibou,20.931,-17.0347,66.2,72,0,19.57,MR,1619991483
Bow Island,49.8668,-111.3684,53.01,62,99,10.36,CA,1619991483
Saint-Leu,-21.15,55.2833,73.99,83,0,4.61,RE,1619991484
Grand Gaube,-20.0064,57.6608,75.0,91,4,8.12,MU,1619991485
Shakhovskaya,56.0283,35.5097,44.55,90,100,12.19,RU,1619991485
